"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Think Like a Man Too","Tim Story","Michael Ealy Jerry Ferrara Meagan Good Regina Hall","Comedy","Screen Gems Based on the novel Act Like a Lady, Think Like a Man by Steve Harvey Sequel to Think Like a Man (2012)"
"Rebound","Megan Freels Johnson","Kevin Bulla Ashley James Dan Sutter","Horror","Amerimum"
"America: Imagine the World Without Her","Dinesh D'Souza","Don Taylor Michelle Swink Dinesh D'Souza Josh Bonzie","Political documentary","Lions Gate Entertainment Based on the novel of the same name by Dinesh D'Souza"
"They Came Together","David Wain","Paul Rudd Amy Poehler Cobie Smulders Christopher Meloni","Comedy","Lions Gate Entertainment"
"Transformers: Age of Extinction","Michael Bay","Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz","Science fiction","Paramount Pictures Based on the franchise Transformers Sequel to Transformers: Dark of the Moon (2011)"
"Deliver Us from Evil","Scott Derrickson","Eric Bana Édgar Ramírez Olivia Munn Sean Harris","Horror","Screen Gems"
"Earth to Echo","Dave Green","Teo Halm Reese Hartwig Jason Gray-Stanford","Science fiction","Relativity Media"
"School Dance","Nick Cannon","Bobb'e J. Thompson Mike Epps Luenell Wilmer Valderrama","Musical","Lions Gate Entertainment"
"Tammy","Ben Falcone","Melissa McCarthy Susan Sarandon Gary Cole Mark Duplass","Comedy","Warner Bros."
"The Ladies of the House","Charles Pinion","Suziey Block Rigo Obezo Rudy Marquez","Horror","Amerimum"
"Boyhood","Richard Linklater","Patricia Arquette Ellar Coltrane Lorelei Linklater Ethan Hawke","Drama","IFC Films"
"Dawn of the Planet of the Apes","Matt Reeves","Andy Serkis Jason Clarke Toby Kebbell Gary Oldman Kodi Smit-McPhee","Science fiction","20th Century Fox Sequel to Rise of the Planet of the Apes (2011)"
"Rage","Paco Cabezas","Nicolas Cage Peter Stormare Danny Glover Max Ryan","Crime thriller","Image Entertainment"
"Road to Paloma","Jason Momoa","Jason Momoa Lisa Bonet Michael Raymond-James Wes Studi","Thriller","WWE Studios"
"I Origins","Mike Cahill","Michael Pitt Brit Marling Astrid Berges-Frisbey Steven Yeun","Drama","Fox Searchlight Pictures"
"Persecuted","Daniel Lusko","James Remar Bruce Davison Dean Stockwell Raoul Trujillo","Drama","Millennium Entertainment"
"Planes: Fire & Rescue","Roberts Gannaway","Dane Cook Stacy Keach Brad Garrett Danny Mann","Adventure","Walt Disney Pictures Sequel to Planes (2013)"
"The Purge: Anarchy","James DeMonaco","Frank Grillo Carmen Ejogo Zach Gilford Kiele Sanchez","Horror","Universal Pictures Sequel to The Purge (2013)"
"Sex Tape","Jake Kasdan","Cameron Diaz Jason Segel Rob Corddry Rob Lowe","Romantic comedy","Columbia Pictures"
