"Title","Director","Cast (Subject of documentary)","Genre","Notes"
"Man About Town","Mike Binder","Ben Affleck, Rebecca Romijn, John Cleese, Jerry O'Connell, Gina Gershon, Bai Ling","Comedy",""
"Man of the Year","Barry Levinson","Robin Williams, Laura Linney","Comedy",""
"Marie Antoinette","Sofia Coppola","Kirsten Dunst, Jason Schwartzman, Judy Davis","Biography","based on Marie Antoinette: The Journey by Antonia Fraser"
"The Marine","John Bonito","John Cena, Kelly Carlson, Robert Patrick","Action",""
"Mark of the Damned","Eric Miller","","Horror",""
"Material Girls","Martha Coolidge","Hilary Duff, Haylie Duff, Anjelica Huston","Comedy",""
"Matthew Barney: No Restraint","Alison Chernick","filmmaking process of Matthew Barney, Björk","Documentary",""
"Maxed Out","James Scurlock","the credit card industry","Documentary",""
"Miami Vice","Michael Mann","Jamie Foxx, Colin Farrell, Gong Li","Action","based on Miami Vice"
"Mini's First Time","Nick Guthe","Alec Baldwin, Nikki Reed, Luke Wilson","Comedy-drama",""
"Minotaur","Jonathan English","Tom Hardy, Tony Todd, Rutger Hauer","Horror",""
"Miss Potter","Chris Noonan","Renée Zellweger, Ewan McGregor, Emily Watson","Biography","based on life of Beatrix Potter"
"Modern Man","Justin Swibel","Eric Becker","Drama",""
"Monster House","Gil Kenan","Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi","Animation",""
"The Monster of Phantom Lake","Christopher R. Mihm","Josh Craig","Horror comedy",""
"Moonshine","Roger Ingraham","Brian Greer","Horror comedy",""
"Mustang Sally","Iren Koster","Elizabeth Daily, Mark Anthony Parrish","Horror",""
"My Country, My Country","Laura Poitras","the life of Iraqis under American occupation","Documentary",""
"Mission: Impossible III","J. J. Abrams","Tom Cruise, Jonathan Rhys Meyers, Philip Seymour Hoffman, Ving Rhames","Action, spy","preceded by Mission: Impossible II"
"My Super Ex-Girlfriend","Ivan Reitman","Uma Thurman, Luke Wilson, Anna Faris","Superhero",""
"Nacho Libre","Jared and Jerusha Hess","Jack Black","Comedy",""
"National Lampoon's Van Wilder: The Rise of Taj","Mort Nathan","Kal Penn, Glen Barry, Lauren Cohan","Comedy","preceded by National Lampoon's Van Wilder"
"The Nativity Story","Catherine Hardwicke","Keisha Castle-Hughes, Shohreh Aghdashloo","Family","based on the Nativity of Jesus"
"Neil Young: Heart of Gold","Jonathan Demme","Neil Young","Concert",""
"Night at the Museum","Shawn Levy","Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke, Mickey Rooney, Carla Gugino, Jake Cherry","Fantasy","based on The Night at the Museum by Milan Trenc"
"The Night Listener","Patrick Stettner","Robin Williams, Toni Collette, Bobby Cannavale, Sandra Oh","Thriller","based on The Night Listener by Armistead Maupin"
"Night of the Living Dead 3D","Jeff Broadstreet","Brianna Brown","Horror","based on Night of the Living Dead"
"The Night of the White Pants","Amy Talkington","Tom Wilkinson, Selma Blair, Nick Stahl","Comedy-drama",""
"Nightmare Man","Rolfe Kanefsky","Gwen Davis","Horror",""
"No Limit","Brian O'Hare, Timothy Rhys","the professional poker tournament circuit","Documentary",""
"O Jerusalem","Élie Chouraqui","JJ Feild, Saïd Taghmaoui","Drama",""
"Occupation 101","Sufyan and Abdallah Omeish","the Israeli–Palestinian conflict","Documentary",""
"The Oh in Ohio","Billy Kent","Parker Posey, Paul Rudd, Danny DeVito, Mischa Barton","Comedy",""
"Old Joy","Kelly Reichardt","Will Oldham, Daniel London","Drama","based on ""Old Joy"" by Jonathan Raymond"
"The Omen","John Moore","Liev Schreiber, Julia Stiles, Seamus Davey-Fitzpatrick, David Thewlis, Mia Farrow","Horror","based on The Omen"
"Once in a Lifetime: The Extraordinary Story of the New York Cosmos","Paul Crowder, John Dower","Matt Dillon (narrator), Pelé, Giorgio Chinaglia","Documentary","the New York Cosmos"
"One Night with the King","Michael O. Sajbel","Tiffany Dupont","Drama","based on Hadassah: One Night with the King by Tommy Tenney, Mark Andrew Olsen"
"The One Percent","Jamie Johnson","America's growing wealth gap","Documentary",""
"Open Season","Roger Allers, Jill Culton, Anthony Stacchi","Martin Lawrence, Ashton Kutcher, Debra Messing, Gary Sinise","Animation",""
"Over the Hedge","Karey Kirkpatrick, Tim Johnson","Bruce Willis, Garry Shandling, Steve Carell, Wanda Sykes, Nick Nolte","Animation",""
"The Painted Veil","John Curran","Naomi Watts, Edward Norton","Drama","based on The Painted Veil by W. Somerset Maugham"
"Pan's Labyrinth","Guillermo del Toro","Ivana Baquero, Doug Jones, Sergi López","Fantasy","winner of Satellite Award for Best Animated or Mixed Media Feature"
"Paper Dolls","Tomer Heymann","transgender migrant workers from Philippines","Documentary",""
"Park","Kurt Voekler","William Baldwin, Ricki Lake, Cheri Oteri","Comedy-drama",""
"Peaceful Warrior","Victor Salva","Scott Mechlowicz, Nick Nolte, Amy Smart","Drama","based on Way of the Peaceful Warrior by Dan Millman"
"Penelope","Mark Palansky","Christina Ricci, James McAvoy, Catherine O'Hara, Reese Witherspoon","Romantic comedy",""
"Perfume: The Story of a Murderer","Tom Tykwer","Ben Whishaw, Dustin Hoffman, Alan Rickman","Crime drama","based on Perfume by Patrick Süskind"
"Phat Girlz","Nnegest Likké","Mo'Nique","Comedy",""
"The Phobic","Margo Romero","Courtney Gains, Juliette Marquis, Eric Millegan","Thriller",""
"The Pink Panther","Shawn Levy","Steve Martin, Beyoncé Knowles, Kevin Kline, Kristin Chenoweth","Comedy","based on The Pink Panther film series"
"Pirates of the Caribbean: Dead Man's Chest","Gore Verbinski","Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush","Adventure","preceded by Pirates of the Caribbean: The Curse of the Black Pearl"
"Poseidon","Wolfgang Petersen","Josh Lucas, Kurt Russell, Richard Dreyfuss, Kevin Dillon, Freddy Rodríguez, Emmy Rossum, Mike Vogel, Jacinda Barrett, Andre Braugher","Disaster film","based on The Poseidon Adventure by Paul Gallico"
"Poultrygeist: Night of the Chicken Dead","Lloyd Kaufman","Jason Yachanin","Horror comedy","based on Poltergeist and Night of the Living Dead"
"The Power of Community: How Cuba Survived Peak Oil","Faith Morgan","the economic collapse and recovery of Cuba following the fall of the Soviet Union in 1991","Documentary",""
"Premium","Pete Chatmon","Dorian Missick, Zoe Saldana, Hill Harper","Comedy",""
"The Prisoner or: How I Planned to Kill Tony Blair","Michael Tucker, Petra Epperlein","the detainment and accusation of Yunis Khatayer Abbas","Documentary",""
"A Prairie Home Companion","Robert Altman","Garrison Keillor, Woody Harrelson, Tommy Lee Jones, Kevin Kline, Lindsay Lohan, Meryl Streep","Musical comedy","based on A Prairie Home Companion"
"The Prestige","Christopher Nolan","Hugh Jackman, Christian Bale, Scarlett Johansson, Michael Caine, Rebecca Hall, David Bowie","Crime drama","based on The Prestige by Christopher Priest"
"Puff, Puff, Pass","Mekhi Phifer","Danny Masterson, Ronnie Warner, Mekhi Phifer","Comedy",""
"Pulse","Jim Sonzero","Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez","Horror","based on Kairo"
"The Pursuit of Happyness","Gabriele Muccino","Will Smith, Jaden Smith","Biography",""
"The Quick and the Undead","Gerald Nott","Clint Glenn","Horror, western",""
"Quick Pick","Will Vazquez","John Bryant","Comedy",""
"Quinceañera","Richard Glatzer, Wash Westmoreland","Emily Rios, Jesse Garcia, David W. Ross","Drama","winner of Grand Jury Prize: Dramatic"
"The Rape of the Sabine Women","Eve Sussman","Nina Adamopoulou","Drama",""
"Relative Strangers","Greg Glienna","Ron Livingston, Danny DeVito, Neve Campbell","Comedy",""
"The Return","Asif Kapadia","Sarah Michelle Gellar, Peter O'Brien, Adam Scott","Thriller",""
"Right at Your Door","Chris Gorak","Mary McCormack, Rory Cochrane","Drama",""
"Robotech: The Shadow Chronicles","Dong-Wook Lee, Tommy Yune","Richard Epcar, Eddie Frierson, Mark Hamill","Animation","preceded by Robotech"
"Rocky Balboa","Sylvester Stallone","Sylvester Stallone, Burt Young, Geraldine Hughes, Milo Ventimiglia, Antonio Tarver, Tony Burton","Drama","preceded by Rocky V"
"Roman","Angela Bettis","Lucky McKee, Kristen Bell","Drama","based on May"
"Romeo & Juliet: Sealed with a Kiss","Phil Nibbelink","Daniel Trippett, Patricia Trippett","Animation","based on Romeo and Juliet by William Shakespeare"
"Room 6","Michael Hurst","Christine Taylor, Jerry O'Connell, Shane Brolly","Horror",""
"Rune","Seth Kenlon, Arayna Thomas","Anna Bäumer, Bill Wise","Drama",""
"Running Scared","Wayne Kramer","Paul Walker","Crime drama",""
"Running with Scissors","Ryan Murphy","Annette Bening, Brian Cox, Joseph Fiennes","Comedy-drama","based on Running with Scissors by Augusten Burroughs"
"RV","Barry Sonnenfeld","Robin Williams, Jeff Daniels, Cheryl Hines, Kristin Chenoweth, JoJo, Josh Hutcherson","Adventure",""
"...So Goes the Nation","Adam Del Deo, James D. Stern","the 2004 Presidential Election of the United States","Documentary",""
"Sacco and Vanzetti","Peter Miller","trial of Nicola Sacco and Bartolomeo Vanzetti","Documentary",""
"The Santa Clause 3: The Escape Clause","Michael Lembeck","Tim Allen, Martin Short","Fantasy","preceded by The Santa Clause 2"
"The Sasquatch Gang","Tim Skousen","Jeremy Sumpter, Justin Long, Joey Kern","Comedy",""
"Saving Shiloh","Sandy Tung","Scott Wilson, Gerald McRaney","Family","based on Saving Shiloh by Phyllis Reynolds Naylor preceded by Shiloh"
"Saw III","Darren Lynn Bousman","Tobin Bell, Shawnee Smith, Angus Macfadyen, Bahar Soomekh","Horror","preceded by Saw II"
"A Scanner Darkly","Richard Linklater","Keanu Reeves, Robert Downey, Jr., Woody Harrelson, Winona Ryder","Animation","based on A Scanner Darkly by Philip K. Dick"
"Scary Movie 4","David Zucker","Anna Faris, Regina Hall, Craig Bierko, Bill Pullman","Comedy, parody","preceded by Scary Movie 3"
"School for Scoundrels","Todd Phillips","Billy Bob Thornton, Jon Heder","Comedy","based on School for Scoundrels"
"Scoop","Woody Allen","Scarlett Johansson, Hugh Jackman, Woody Allen, Ian McShane","Romantic comedy",""
"Scott Walker: 30 Century Man","Stephen Kijak","the career of Scott Walker","Documentary",""
"The Second Chance","Steve Taylor","Michael W. Smith, Jeff Obafemi Carr","Drama",""
"Secret of the Cave","Zach C. Gray","Patrick Bergin, Joseph Kelly","Adventure","based on Secret of the Cave by Arthur S. Maxwell"
"See No Evil","Gregory Dark","Glenn Jacobs, Christina Vidal, Samantha Noble","Horror",""
"The Sentinel","Clark Johnson","Michael Douglas, Kiefer Sutherland, Eva Longoria, Kim Basinger","Crime drama","based on The Sentinel by Gerald Petievich"
"The Shaggy Dog","Brian Robbins","Tim Allen, Kristin Davis, Spencer Breslin, Danny Glover, Robert Downey, Jr.","Comedy","based on The Shaggy Dog"
"Shark Bait","Howard E. Baker, John Fox","Freddie Prinze, Jr.","Animation",""
"She's the Man","Andy Fickman","Amanda Bynes, Channing Tatum","Romantic comedy","based on Twelfth Night by William Shakespeare"
"Sherrybaby","Laurie Collyer","Maggie Gyllenhaal, Brad William Henke, Sam Bottoms","Drama",""
"Shortbus","John Cameron Mitchell","Sook-Yin Lee","Comedy-drama",""
"Shottas","Cess Silvera","Ky-Mani Marley, Spragga Benz","Crime drama",""
"Silent Hill","Christophe Gans","Radha Mitchell, Sean Bean, Laurie Holden, Jodelle Ferland","Horror","based on the Silent Hill series"
"Simon Says","William Dear","Crispin Glover, Margo Harshman","Horror",""
"Sleeping Dogs Lie","Bobcat Goldthwait","Melinda Page Hamilton, Bryce Johnson","Comedy",""
"Slither","James Gunn","Nathan Fillion, Elizabeth Banks, Michael Rooker","Horror comedy",""
"Small Town Gay Bar","Malcolm Ingram","gay bars in rural Southeast United States","Documentary",""
"Snakes on a Plane","David R. Ellis","Samuel L. Jackson, Julianna Margulies, Taylor Kitsch, Kenan Thompson","Thriller",""
"Snow Blind","Christopher J. Scott","history, lifestyle of snowboarding","Documentary",""
"So Much So Fast","Steven Ascher, Jeanne Jordan","the life of Stephen Heywood","Documentary",""
"Something New","Sanaa Hamri","Sanaa Lathan, Simon Baker, Mike Epps, Donald Faison","Drama",""
"Sonhos de Peixe","Kirill Mikhanovsky","José Maria Alves, Phellipe Haagensen","Drama",""
"Special","Hal Haberman, Jeremy Passmore","Michael Rapaport","Drama",""
"Stalking Santa","Greg Kiefer","Daryn Tufts, William Shatner","Mockumentary",""
"Starter for 10","Tom Vaughan","James McAvoy, Alice Eve, Rebecca Hall","Comedy-drama","based on Starter for Ten by David Nicholls"
"Stay Alive","William Brent Bell","Jon Foster, Samaire Armstrong, Frankie Muniz, Sophia Bush, Jimmie Simpson","Horror",""
"Step Up","Anne Fletcher","Channing Tatum, Jenna Dewan","Dance",""
"Stephanie Daley","Hilary Brougher","Amber Tamblyn, Tilda Swinton, Timothy Hutton","Drama",""
"Stick It","Jessica Bendinger","Jeff Bridges, Missy Peregrym","Drama",""
"Stranger Than Fiction","Marc Forster","Will Ferrell, Emma Thompson","Fantasy",""
"Stormbreaker","Peyton Horowitz","Alex Pettyfer, Ewan McGregor","Spy","Stormbreaker by Anthony Horowitz"
"Strawberry Shortcake: The Sweet Dreams Movie","Karyn Hyden","Sarah Heinke","Animation",""
"Subject Two","Philip Chidel","Christian Oliver, Dean Stapleton","Drama",""
"Suicide Killers","Pierre Rehov","the motivations of a suicide bomber","Documentary",""
"Superman Returns","Bryan Singer","Brandon Routh, Kate Bosworth, Kevin Spacey, Frank Langella, James Marsden, Eva Marie Saint","Superhero","preceded by Superman IV: The Quest for Peace"
"Swarm of the Snakehead","Frank A. Lama, Joel C. Denning","Gunnar Hansen, Frank A. Lama, Jamie O'Brien","Horror",""
"Sweet Insanity","Daniel Hess","Rebekah Isaacs, Mackenzie Firgens","Horror",""
"Take the Lead","Liz Friedlander","Antonio Banderas","Drama, dance",""
"Talladega Nights: The Ballad of Ricky Bobby","Adam McKay","Will Ferrell, John C. Reilly, Sacha Baron Cohen","Comedy",""
"The Teddy Bear Master","Charlie Ours","Isaac Imel","Horror","Produced for limited distribution by Indiana high school students and led to two separate lawsuite due to its content."
"Tenacious D in The Pick of Destiny","Liam Lynch","Jack Black, Kyle Gass","Comedy",""
"The Texas Chainsaw Massacre: The Beginning","Jonathan Liebesman","Jordana Brewster, Taylor Handley","Horror","preceded by The Texas Chainsaw Massacre"
"Thank You for Smoking","Jason Reitman","Aaron Eckhart, Cameron Bright, Maria Bello, David Koechner","Comedy","based on Thank You for Smoking by Christopher Buckley"
"This Film Is Not Yet Rated","Kirby Dick","Motion Picture Association of America rating system","Documentary",""
"Threat","Matt Pizzolo","Carlos Puga, Katie Nisa","Drama",""
"Tomorrow Is Today","Frederic Lumiere","Scout Taylor-Compton","Drama",""
"Trantasia","Jeremy Stanford","first ""World's Most Beautiful Transsexual Pageant""","Documentary",""
"Tristan & Isolde","Kevin Reynolds","James Franco, Sophia Myles, Rufus Sewell","Drama","based on Tristan und Isolde by Richard Wagner"
"Trust the Man","Bart Freundlich","Billy Crudup, David Duchovny, Maggie Gyllenhaal","Romantic comedy",""
"Turistas","John Stockwell","Josh Duhamel, Melissa George, Olivia Wilde","Horror",""
"Two Weeks","Steve Stockman","Sally Field, Ben Chaplin","Comedy-drama",""
"The U.S. vs. John Lennon","David Leaf, John Scheinfeld II","the transformation of John Lennon from a member of The Beatles to an anti-war activist","Documentary",""
"Ultraviolet","Kurt Wimmer","Milla Jovovich, Cameron Bright, Nick Chinlund, William Fichtner","Science fiction",""
"Unaccompanied Minors","Paul Feig","Lewis Black, Wilmer Valderrama, Tyler James Williams","Comedy",""
"Underworld: Evolution","Len Wiseman","Kate Beckinsale, Scott Speedman, Tony Curran","Horror","preceded by Underworld"
"Undoing","Chris Chan Lee","Sung Kang, Tom Bower, Russell Wong","Crime drama",""
"Unidentified","Rich Christiano","Jonathan Aube","Science fiction",""
"United 93","Paul Greengrass","see Cast","Drama",""
"Unrest","Jason Todd Ipson","Corri English","Horror",""
"V for Vendetta","James McTeigue","Natalie Portman, Hugo Weaving, Stephen Rea, John Hurt","Thriller","based on V for Vendetta by Alan Moore"
"Vacationland","Todd Verow","Brad Hallowell, Gregory J. Lucas","Drama",""
"Vanaja","Rajnesh Domalpalli","Mamatha Bhukya","Drama",""
"Waist Deep","Vondie Curtis-Hall","Tyrese Gibson, Meagan Good, Larenz Tate, The Game","Crime drama","based on Bonnie and Clyde"
"The War Tapes","Deborah Scranton","the 2003 invasion of Iraq in the prospective of the soldiers","Documentary",""
"We Are Marshall","McG","Matthew McConaughey, Matthew Fox, Anthony Mackie","Drama",""
"When a Stranger Calls","Simon West","Camilla Belle","Horror","based on When a Stranger Calls"
"When I Came Home","Dan Lohaus","the homeless veterans in the United States","Documentary",""
"Who Killed the Electric Car?","Chris Paine","the creation, commercialization, and destruction of the battery electric vehicle","Documentary",""
"Wicked Little Things","J. S. Cardone","Lori Heuring, Scout Taylor-Compton, Chloë Grace Moretz","Horror",""
"The Wicker Man","Neil LaBute","Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy, Leelee Sobieski, Molly Parker, Diane Delano","Horror","based on The Wicker Man"
"The Wild","Steve ""Spaz"" Williams","Kiefer Sutherland, James Belushi","Animation",""
"The Woods","Lucky McKee","Agnes Bruckner, Patricia Clarkson","Horror",""
"Wordplay","Patrick Creadon","Will Shortz, Bill Clinton, Jon Stewart","Documentary","crossword puzzles"
"World Trade Center","Oliver Stone","Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello","Drama",""
"Wristcutters: A Love Story","Goran Dukić","Patrick Fugit, Shannyn Sossamon, Tom Waits","Drama",""
"X-Men: The Last Stand","Brett Ratner","Hugh Jackman, Halle Berry, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Anna Paquin, Kelsey Grammer","Superhero","preceded by X2"
"Yellow","Alfredo De Villa","Roselyn Sánchez, Bill Duke, D. B. Sweeney","Drama",""
"Yeti: A Love Story","Adam Deyoe, Eric Gosselin","Adam Malamut, Eric Gosselin, Laura Glascott, Loren Mash, Dave Paige","Romance-horror",""
"You, Me and Dupree","Joe Russo, Anthony Russo","Owen Wilson, Kate Hudson, Matt Dillon, Michael Douglas","Comedy",""
"Zoom","Peter Hewitt","Tim Allen, Courteney Cox","Superhero","based on Amazing Adventures from Zoom's Academy by Jason Lethcoe"
"Zyzzyx Road","John Penney","Leo Grillo, Katherine Heigl, Tom Sizemore","Thriller",""
