"Title","Director","Cast (Subject of documentary)","Genre","Note"
"French Kiss","Lawrence Kasdan","Meg Ryan, Kevin Kline, Timothy Hutton","Romantic comedy",""
"Friday","F. Gary Gray","Ice Cube, Chris Tucker","Comedy, drama",""
"Friendship's Field","Bruce Neibaur","","",""
"Frisk","Todd Verow","Parker Posey","",""
"From the Journals of Jean Seberg","Mark Rappaport","","Docudrama",""
"From the Mixed-Up Files of Mrs. Basil E. Frankweiler","Marcus Cole","Lauren Bacall, Miriam Flynn, M. Emmet Walsh","Drama","remake of 1973 film"
"Full Body Massage","Nicolas Roeg","Mimi Rogers, Bryan Brown","Drama","TV"
"Funny Bones","Peter Chelsom","Oliver Platt, Jerry Lewis, Lee Evans, Leslie Caron","Comedy","Hollywood Pictures"
"The Gate of Heavenly Peace","Richard Gordon, Carma Hinton","","Documentary","China"
"Georgia","Ulu Grosbard","Jennifer Jason Leigh, Mare Winningham","Drama",""
"Get Shorty","Barry Sonnenfeld","John Travolta, Gene Hackman, Rene Russo, Danny DeVito, James Gandolfini, Delroy Lindo, David Paymer, Dennis Farina","Crime, Comedy","based on a novel by Elmore Leonard"
"The Glass Shield","Charles Burnett","Ice Cube, Lori Petty","Drama",""
"Go Now","Michael Winterbottom","Robert Carlyle","","TV"
"Gold Diggers: The Secret of Bear Mountain","Kevin James Dobson","Christina Ricci, Anna Chlumsky","Family",""
"A Goofy Movie","Kevin Lima","voices of Jason Marsden, Pauly Shore","Animated","Disney"
"Gordy","Mark Lewis","Doug Stone","Family",""
"The Great Mom Swap","Jonathan Prince","Shelley Fabares, Valerie Harper, Mary Kate Schellhardt, Hillary Tuck","Comedy","Hallmark"
"Grumpier Old Men","Howard Deutch","Jack Lemmon, Walter Matthau, Ann-Margret, Sophia Loren","Comedy","Grumpy Old Men sequel"
"Gumby: The Movie","Art Clokey","","Clay animation",""
"Hackers","Iain Softley","Jonny Lee Miller, Angelina Jolie, Lorraine Bracco","Thriller",""
"Halloween: The Curse of Michael Myers","Joe Chappelle","Donald Pleasence, Paul Rudd","Horror",""
