Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Nancy Meyers,Josh Goldsmith,Cathy Yuspa,Mel Gibson,Helen Hunt,Marisa Tomei,13,N,54,53,1.81483882E8,Comedy,Fantasy,Romance,no
Curtis Hanson,Michael Chabon,Steve Kloves,Michael Douglas,Tobey Maguire,Frances McDormand,66,N,81,83, ,Comedy,Drama, ,yesDrama
Bryan Singer,Tom DeSanto,Bryan Singer,Hugh Jackman,Patrick Stewart,Ian McKellen,39,N,81,83,1.56164829E8,Action,Adventure,Sci-Fi,no
James Gray,James Gray,Matt Reeves,Mark Wahlberg,Joaquin Phoenix,Charlize Theron,5,N,64,52, ,Crime,Drama,Romance,no
Lee Davis,Lee Davis, ,Sarita Choudhury,Michelle Rodriguez,Arjun G. Awtramani,8,N,N/A,43, ,Crime,Mystery,Romance,no
Steven Spielberg,Brian Aldiss,Ian Watson,Haley Joel Osment,Frances O'Connor,Sam Robards,82,N,73,64, ,Adventure,Drama,Sci-Fi,no
Michael Mann,Gregory Allen Howard,Stephen J. Rivele,Will Smith,Jamie Foxx,Jon Voight,37,N,67,65,5.8183966E7,Biography,Drama,Sport,no
Cory McAbee,Cory McAbee, ,Cory McAbee,Rocco Sisto,Gregory Russell Cook,4,N,N/A,0, ,Musical,Comedy,Sci-Fi,no
Éva Gárdos,Éva Gárdos, ,Scarlett Johansson,Nastassja Kinski,Raffaella Bánsági,10,N,N/A,N/A, ,Drama, , ,no
Luis Mandoki,Gerald Di Pego, ,Jennifer Lopez,Jim Caviezel,Jeremy Sisto,8,N,N/A,N/A, ,Drama,Romance, ,no
Sharon Maguire,Helen Fielding,Helen Fielding,Renée Zellweger,Gemma Jones,Celia Imrie,38,N,81,81, ,Comedy,Drama,Romance,yesComedy
Alan Cumming,Jennifer Jason Leigh,Alan Cumming,Alan Cumming,Jennifer Jason Leigh,Otis,7,N,60,58,2974308.0,Comedy,Drama,Romance,no
John Singleton,John Singleton, ,Tyrese Gibson,Taraji P. Henson,Omar Gooding,15,N,71,87,2.7823989E7,Crime,Drama,Romance,no
Barry Levinson,Harley Peyton, ,Bruce Willis,Billy Bob Thornton,Cate Blanchett,11,N,64,58,4.1176738E7,Comedy,Crime,Drama,no
Ron Howard,Akiva Goldsman,Sylvia Nasar,Russell Crowe,Ed Harris,Jennifer Connelly,100,N,75,93, ,Biography,Drama, ,yesDrama
Henry Bean,Henry Bean,Henry Bean,Ryan Gosling,Peter Meadows,Garret Dillahunt,16,N,82,82, ,Drama, , ,no
Ridley Scott,Mark Bowden,Ken Nolan,Josh Hartnett,Ewan McGregor,Tom Sizemore,47,N,76,88,1.08585355E8,Drama,History,War,no
Ted Demme,Bruce Porter,David McKenna,Johnny Depp,Penélope Cruz,Franka Potente,11,N,55,87, ,Biography,Crime,Drama,no
Gary Hardwick,Gary Hardwick, ,Morris Chestnut,D.L. Hughley,Bill Bellamy,9,N,63,86,2.6553854E7,Comedy,Drama, ,no
Gregor Jordan,Robert O'Connor,Gregor Jordan,Joaquin Phoenix,Ed Harris,Scott Glenn,7,N,73,72, ,Comedy,Crime,Drama,no
Larry Clark,Jim Schutze,David McKenna,Brad Renfro,Bijou Phillips,Rachel Miner,4,N,54,69, ,Biography,Crime,Drama,no
Patrick Stettner,Patrick Stettner, ,Stockard Channing,Julia Stiles,Frederick Weller,10,N,80,51,495907.0,Drama,Thriller, ,no
Peter Bogdanovich,Steven Peros,Steven Peros,Kirsten Dunst,Edward Herrmann,Eddie Izzard,2,N,75,51,3176936.0,Drama,Romance, ,no
Lawrence Guterman,John Requa,Glenn Ficarra,Jeff Goldblum,Elizabeth Perkins,Alexander Pollock,5,N,54,32, ,Action,Comedy,Family,no
Roman Coppola,Roman Coppola, ,Jeremy Davies,Angela Lindvall,Élodie Bouchez,1,N,67,69,301194.0,Drama,Comedy,Sci-Fi,no
John Stockwell,Phil Hay,Matt Manfredi,Kirsten Dunst,Jay Hernandez,Bruce Davison,5,N,63,69,1.6162786E7,Drama,Romance, ,no
Scott McGehee,Elisabeth Sanxay Holding,Scott McGehee,Tilda Swinton,Goran Visnjic,Jonathan Tucker,23,N,82,58,8301918.0,Crime,Drama,Mystery,no
Nick Castle,David Hubbard,Heidi Levitt,Anton Yelchin,Albert Finney,Bridget Fonda,4,N,N/A,43, ,Comedy,Fantasy, ,no
Richard Kelly,Richard Kelly, ,Jake Gyllenhaal,Holmes Osborne,Maggie Gyllenhaal,26,N,85,80, ,Drama,Sci-Fi,Thriller,no
Sam Irvin,Cassandra Peterson,Cassandra Peterson,Cassandra Peterson,Richard O'Brien,Mary Scheer,1,N,75,48, ,Comedy,Horror, ,no
Jean-Jacques Annaud,Jean-Jacques Annaud,Alain Godard,Jude Law,Ed Harris,Rachel Weisz,3,N,54,82,5.0507533E7,Drama,History,War,no
Rob Cohen,Ken Li,Gary Scott Thompson,Paul Walker,Vin Diesel,Michelle Rodriguez,21,N,53,74,1.4254295E8,Action,Crime,Thriller,no
Henry Jaglom,Victoria Foyt,Henry Jaglom,Anouk Aimée,Greta Scacchi,Maximilian Schell,0,N,65,34,41006.0,Comedy, , ,no
Jeff Probst,Jeff Probst,Jim Gulian,Erik Palladino,Ryan Reynolds,Dash Mihok,6,N,60,60, ,Drama,Thriller, ,no
Richard Glatzer,Wash Westmoreland, ,Scott Gurney,Michael Cunio,Roxanne Day,1,N,N/A,N/A, ,Drama,Comedy,Romance,no
Bill Paxton,Brent Hanley, ,Bill Paxton,Matthew McConaughey,Powers Boothe,21,N,73,79,1.3076378E7,Crime,Drama,Thriller,no
Albert Hughes,Alan Moore,Eddie Campbell,Johnny Depp,Heather Graham,Ian Holm,9,N,57,66,3.0692411E7,History,Horror,Mystery,no
Kyle Schickner,Kyle Schickner, ,Stephanie Snow,Chi Chi LaRue,Kyle Schickner,0,N,N/A,N/A, ,Comedy, , ,no
Terry Zwigoff,Daniel Clowes,Daniel Clowes,Thora Birch,Scarlett Johansson,Steve Buscemi,84,N,92,84,4694484.0,Comedy,Drama, ,no
Robert Altman,Julian Fellowes,Robert Altman,Maggie Smith,Michael Gambon,Kristin Scott Thomas,105,N,86,78,4.1274328E7,Comedy,Drama,Mystery,yesComedy
Tim Blake Nelson,Miklos Nyiszli,Tim Blake Nelson,David Arquette,Velizar Binev,David Chandler,4,N,68,74, ,Drama,History,War,no
Chris Columbus,J.K. Rowling,Steve Kloves,Richard Harris,Maggie Smith,Robbie Coltrane,80,N,80,82,3.17557891E8,Adventure,Family,Fantasy,no
David Mirkin,Robert Dunn,Paul Guay,Sigourney Weaver,Jennifer Love Hewitt,Ray Liotta,4,N,53,51, ,Comedy,Crime,Romance,no
John Cameron Mitchell,John Cameron Mitchell,Stephen Trask,John Cameron Mitchell,Miriam Shor,Stephen Trask,61,N,92,93,1547128.0,Comedy,Drama,Music,no
David Mamet,David Mamet, ,Gene Hackman,Danny DeVito,Delroy Lindo,0,N,66,60,2.3287872E7,Action,Crime,Drama,no
Bill Semans,Bill Semans, ,Michael O'Keefe,Kevin Chamberlin,Enid Graham,0,N,N/A,N/A, ,Comedy,Romance, ,no
Todd Field,Robert Festinger,Todd Field,Tom Wilkinson,Sissy Spacek,Nick Stahl,112,N,93,81,3.5733119E7,Crime,Drama, ,yesDrama
Kevin Smith,Kevin Smith,Kevin Smith,Jason Mewes,Kevin Smith,Ben Affleck,4,N,53,75,2.9885424E7,Comedy, , ,no
John A. Davis,John A. Davis,Steve Oedekerk,Megan Cavanagh,Mark DeCarlo,Debi Derryberry,6,N,75,52,8.0865848E7,Animation,Action,Adventure,no
Harry Elfont,Deborah Kaplan,Harry Elfont,Rachael Leigh Cook,Rosario Dawson,Tara Reid,5,N,53,51,1.4126075E7,Comedy,Music, ,no
John Dahl,Clay Tarver,J.J. Abrams,Steve Zahn,Paul Walker,Leelee Sobieski,3,N,73,65,2.1254983E7,Mystery,Thriller, ,no
Charles Herman-Wurmfeld,Heather Juergensen,Jennifer Westfeldt,Jennifer Westfeldt,Tovah Feldshuh,Esther Wurmfeld,11,N,84,65,6960929.0,Comedy,Drama,Romance,no
Brian Helgeland,Brian Helgeland, ,Heath Ledger,Rufus Sewell,Shannyn Sossamon,14,N,58,79,5.5001689E7,Action,Adventure,History,no
Michael Cuesta,Stephen M. Ryder,Michael Cuesta,Paul Dano,Bruce Altman,Billy Kay,38,N,83,78, ,Crime,Drama, ,no
Richard Benjamin,Neil Simon,Neil Simon,Nathan Lane,Mark Linn-Baker,Saul Rubinek,2,N,N/A,N/A, ,Comedy, , ,no
Robert Luketic,Amanda Brown,Karen McCullah,Reese Witherspoon,Luke Wilson,Selma Blair,18,N,N/A,52, ,Comedy,Romance, ,yesComedy
Hector Barron,Hector Barron, ,Todd Bosley,Brendon Ryan Barrett,Mary Mara,0,N,N/A,73, ,Comedy,Drama,Family,no
Peter Jackson,J.R.R. Tolkien,Fran Walsh,Alan Howard,Noel Appleby,Sean Astin,234,N,91,95,3.14E8,Adventure,Drama,Fantasy,yesDrama
Nicole Holofcener,Nicole Holofcener, ,Troy Ruptash,Emily Mortimer,Brenda Blethyn,17,N,86,63,4186931.0,Comedy,Drama,Romance,no
Joel Coen,Joel Coen,Ethan Coen,Billy Bob Thornton,Frances McDormand,Michael Badalucco,66,N,81,85,7408031.0,Crime,Drama, ,yesDrama
Gore Verbinski,J.H. Wyman, ,Brad Pitt,Julia Roberts,James Gandolfini,4,N,56,44,6.6588591E7,Adventure,Comedy,Crime,no
Harry Bromley Davenport,Daryl Haney, ,Melissa Errico,Joe Regalbuto,Sean Young,1,N,N/A,72, ,Biography,Drama, ,no
Mira Nair,Sabrina Dhawan, ,Naseeruddin Shah,Lillete Dubey,Shefali Shetty,18,N,95,87,1.4E7,Comedy,Drama,Romance,no
Marc Forster,Milo Addica,Will Rokos,Billy Bob Thornton,Taylor Simpson,Gabrielle Witcher,37,N,85,67,3.1252964E7,Drama,Romance, ,no
Stewart Raffill,Keith Murphy, ,Rod Steiger,Sally Kirkland,Michael Paré,3,N,N/A,17, ,Drama, , ,no
Baz Luhrmann,Baz Luhrmann,Craig Pearce,Nicole Kidman,Ewan McGregor,John Leguizamo,215,N,76,89,5.5093223E7,Drama,Musical,Romance,yesComedy
David Lynch,David Lynch, ,Naomi Watts,Jeanne Bates,Dan Birnbaum,103,N,82,88,7077663.0,Drama,Mystery,Thriller,no
Christine Lahti,Jill Franklyn, ,Rutanya Alda,Natasha Braisewell,Albert Brooks,1,N,53,76, ,Comedy,Drama,Romance,no
Steven Soderbergh,George Clayton Johnson,Jack Golden Russell,George Clooney,Cecelia Ann Birt,Paul L. Nolan,24,N,82,80,1.83349128E8,Crime,Thriller, ,no
Bobby Farrelly,Marc Hyman, ,Chris Rock,Laurence Fishburne,David Hyde Pierce,8,N,55,41,1.2344938E7,Animation,Action,Adventure,no
Alejandro Amenábar,Alejandro Amenábar, ,Nicole Kidman,Fionnula Flanagan,Christopher Eccleston,79,N,83,77,9.6080075E7,Horror,Thriller, ,no
Sean Penn,Friedrich Dürrenmatt,Jerzy Kromolowski,Patricia Clarkson,Beau Daniels,Benicio Del Toro,7,N,78,59,1.8894185E7,Crime,Drama,Mystery,no
Chuck Sheetz,Paul Germain,Joe Ansolabehere,Rickey D'Shon Collins,Jason Davis,Ashley Johnson,0,N,61,55,3.4801195E7,Animation,Family,Comedy,no
Stephen Herek,John Stockwell, ,Mark Wahlberg,Jennifer Aniston,Dominic West,1,N,N/A,43, ,Drama,Music, ,no
Wes Anderson,Wes Anderson,Owen Wilson,Gene Hackman,Anjelica Huston,Ben Stiller,56,N,80,89,5.2307676E7,Comedy,Drama, ,no
Thomas Carter,Duane Adler,Duane Adler,Julia Stiles,Sean Patrick Thomas,Kerry Washington,13,N,N/A,77, ,Drama,Music,Romance,no
Frank Oz,Daniel E. Taylor,Kario Salem,Robert De Niro,Edward Norton,Marlon Brando,2,N,73,67,7.0307038E7,Crime,Drama,Thriller,no
Peter Chelsom,Marc Klein, ,John Cusack,Kate Beckinsale,Jeremy Piven,3,N,59,79,4.9968653E7,Comedy,Romance, ,no
Brad Anderson,Brad Anderson,Stephen Gevedon,David Caruso,Stephen Gevedon,Paul Guilfoyle,3,N,63,64, ,Horror,Mystery, ,no
Lasse Hallström,Annie Proulx,Robert Nelson Jacobs,Kevin Spacey,Julianne Moore,Judi Dench,14,N,55,62,1.1405825E7,Drama, , ,no
Andrew Adamson,William Steig,Ted Elliott,Mike Myers,Eddie Murphy,Cameron Diaz,97,N,88,90,2.66982666E8,Animation,Adventure,Comedy,yesComedy
Richard Benjamin,Alison Balian,Joanna Johnson,Courteney Cox,David Arquette,David James Elliott,0,N,N/A,46, ,Comedy,Romance, ,no
Edward Burns,Edward Burns, ,Penny Balfour,Edward Burns,Michael Leydon Campbell,0,N,57,54,2120491.0,Comedy,Romance, ,no
Tony Scott,Michael Frost Beckner,Michael Frost Beckner,Robert Redford,Brad Pitt,Catherine McCormack,3,N,66,75,6.2326785E7,Action,Crime,Thriller,no
Robert Rodriguez,Robert Rodriguez, ,Antonio Banderas,Carla Gugino,Alexa PenaVega,12,N,93,46, ,Action,Adventure,Comedy,no
Todd Solondz,Todd Solondz, ,Selma Blair,Leo Fitzpatrick,Robert Wisdom,1,N,53,68,850758.0,Comedy,Drama,Romance,no
John Boorman,John le Carré,Andrew Davies,Pierce Brosnan,Geoffrey Rush,Jamie Lee Curtis,1,N,77,46,1.312307E7,Comedy,Drama,Thriller,no
Richard Linklater,Stephen Belber,Stephen Belber,Ethan Hawke,Robert Sean Leonard,Uma Thurman,2,N,78,76, ,Drama, , ,no
Jill Sprecher,Karen Sprecher,Jill Sprecher,Matthew McConaughey,David Connolly,Joseph Siravo,15,N,83,71,3004491.0,Drama, , ,no
David L. Cunningham,Ernest Gordon,Brian Godawa,Ciarán McMenamin,Robert Carlyle,Kiefer Sutherland,7,N,58,86, ,Action,Drama,War,no
Maria Ripoll,Hui-Ling Wang,Ang Lee,Jacqueline Obradors,Tamara Mello,Judy Herrera,9,N,74,70,2923596.0,Comedy,Romance,Drama,no
Antoine Fuqua,David Ayer, ,Denzel Washington,Ethan Hawke,Scott Glenn,37,N,72,89, ,Crime,Drama,Thriller,no
Jon Avnet,Paul Brickman,Jon Avnet,Leelee Sobieski,Hank Azaria,David Schwimmer,22,N,100,84, ,Drama,War, ,no
Richard Linklater,Richard Linklater, ,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,25,N,80,87,2063729.0,Animation,Drama,Fantasy,no
Adam Shankman,Pamela Falk,Michael Ellis,Jennifer Lopez,Matthew McConaughey,Bridgette Wilson-Sampras,8,N,N/A,N/A, ,Comedy,Romance, ,no
Scott Reynolds,Scott Reynolds, ,Radha Mitchell,Josh Lucas,Barry Watson,0,N,N/A,58, ,Action,Mystery,Thriller,no
John Ryman,John Ryman, ,Mackenzie Astin,John Ales,Rachel Wilson,1,N,N/A,N/A, ,Comedy,Drama,Sci-Fi,no
Alexandre Rockwell,Brandon Cole,Alexandre Rockwell,Jennifer Beals,Elizabeth Bracco,Steve Buscemi,0,N,N/A,45, ,Comedy, , ,no
Spike Lee,David Benioff,David Benioff,Edward Norton,Philip Seymour Hoffman,Barry Pepper,19,N,78,85, ,Drama, , ,no
Curtis Hanson,Scott Silver, ,Eminem,Kim Basinger,Mekhi Phifer,34,N,76,54,1.1663803E8,Drama,Music, ,no
Chris Weitz,Nick Hornby,Peter Hedges,Hugh Grant,Nicholas Hoult,Sharon Small,40,N,94,54,4.0566655E7,Comedy,Drama,Romance,yesComedy
Alexander Payne,Louis Begley,Alexander Payne,Jack Nicholson,Kathy Bates,Hope Davis,93,N,85,74,6.5E7,Comedy,Drama, ,yesDrama
Spike Jonze,Susan Orlean,Charlie Kaufman,Nicolas Cage,Tilda Swinton,Meryl Streep,156,N,91,85,2.2184735E7,Comedy,Drama, ,yesComedy
Denzel Washington,Antwone Fisher, ,Derek Luke,Malcolm David Kelley,Cory Hodges,40,N,79,86,2.0813967E7,Biography,Drama, ,no
Jay Roach,Mike Myers,Michael McCullers,Mike Myers,Beyoncé Knowles,Seth Green,26,Y,54,44,2.13079163E8,Action,Comedy,Crime,no
Paul Schrader,Robert Graysmith,Michael Gerbosi,Greg Kinnear,Willem Dafoe,Rita Wilson,6,N,72,60,1818622.0,Biography,Crime,Drama,no
Tim Story,Mark Brown,Mark Brown,Ice Cube,Anthony Anderson,Cedric the Entertainer,18,N,82,62,7.507495E7,Comedy,Drama, ,no
David Twohy,Lucas Sussman,Darren Aronofsky,Matthew Davis,Bruce Greenwood,Holt McCallany,2,N,63,44, ,Horror,Mystery,Thriller,no
Roman Polanski,Ronald Harwood,Wladyslaw Szpilman,Adrien Brody,Emilia Fox,Michal Zebrowski,125,N,96,95,3.2519322E7,Biography,Drama,History,yesDrama
Justin Lin,Ernesto Foronda,Justin Lin,Parry Shen,Jason Tobin,Shirley Anderson,3,N,81,79,3687324.0,Crime,Drama,Romance,no
Morag Fullarton,Jonathan Harvey, ,Sarah Lancashire,Emma Fielding,Mina Anwar,0,N,58,39,4919896.0,Drama, , ,no
Guillermo del Toro,Marv Wolfman,Gene Colan,Wesley Snipes,Kris Kristofferson,Ron Perlman,15,N,57,68,8.2E7,Action,Horror,Sci-Fi,no
Clint Eastwood,Michael Connelly,Brian Helgeland,Clint Eastwood,Jeff Daniels,Anjelica Huston,1,N,53,40,2.62E7,Action,Crime,Drama,no
Jeffrey W. Byrd,Jeffrey W. Byrd,Eric George,40 Glocc,Angelle Brooks,David Brown,0,N,N/A,75, ,Romance,Comedy, ,no
Doug Liman,Tony Gilroy,W. Blake Herron,Matt Damon,Franka Potente,Chris Cooper,8,N,83,93,1.215E8,Action,Mystery,Thriller,no
Rick Famuyiwa,Michael Elliot,Michael Elliot,Taye Diggs,Sanaa Lathan,Yasiin Bey,20,N,66,90,2.7186836E7,Romance,Comedy,Drama,no
Don Coscarelli,Joe R. Lansdale,Don Coscarelli,Bruce Campbell,Ossie Davis,Ella Joyce,16,N,78,79, ,Comedy,Fantasy,Horror,no
Nicholas Racz,Nicholas Racz, ,Rob LaBelle,Jan Rubes,Allan Rich,14,N,53,23, ,Thriller, , ,no
Walt Becker,Walt Becker,Peter W. Nelson,Jerry O'Connell,Bridgette Wilson-Sampras,Ryan Reynolds,0,N,N/A,54, ,Comedy,Romance, ,no
Eli Roth,Eli Roth,Randy Pearlstein,Rider Strong,Jordan Ladd,James DeBello,13,N,63,44,2.1113424E7,Comedy,Horror, ,no
David Carson,Bryan Fuller,Stephen King,Angela Bettis,Patricia Clarkson,Rena Sofer,2,N,N/A,49, ,Drama,Horror,Sci-Fi,no
Steven Spielberg,Jeff Nathanson,Frank Abagnale Jr.,Leonardo DiCaprio,Tom Hanks,Christopher Walken,52,N,96,89,1.644E8,Biography,Crime,Drama,no
Amber Benson,Amber Benson, ,Amber Benson,James Marsters,Tressa DiFiglia,1,N,N/A,78, ,Comedy,Drama, ,no
Roger Michell,Chap Taylor,Chap Taylor,Ben Affleck,Samuel L. Jackson,Kim Staunton,7,N,77,53,6.6650688E7,Drama,Thriller, ,no
Rob Marshall,Bill Condon,Bob Fosse,Taye Diggs,Cliff Saunders,Catherine Zeta-Jones,176,N,86,83, ,Comedy,Crime,Musical,yesComedy
Frank Ciota,Joseph A. Ciota, ,Eddie Malavarca,Maurizio Nichetti,Violante Placido,0,N,N/A,N/A, ,Comedy,Drama,Romance,no
John Stainton,John Stainton,Holly Goldberg Sloan,Steve Irwin,Terri Irwin,Magda Szubanski,2,N,53,43,2.8286973E7,Action,Adventure,Comedy,no
George Clooney,Chuck Barris,Charlie Kaufman,Dick Clark,Sam Rockwell,Michelle Sweeney,18,N,79,75, ,Biography,Comedy,Crime,no
Kevin Reynolds,Alexandre Dumas père,Jay Wolpert,Jim Caviezel,Guy Pearce,Richard Harris,0,N,73,88,5.4111443E7,Action,Adventure,Drama,no
Vincenzo Natali,Brian King, ,Jeremy Northam,Lucy Liu,Nigel Bennett,8,N,58,65, ,Mystery,Romance,Sci-Fi,no
John Malkovich,Nicholas Shakespeare,Nicholas Shakespeare,Javier Bardem,Juan Diego Botto,Laura Morante,4,N,64,77,2400000.0,Drama,Thriller,Crime,no
Peter Care,Chris Fuhrman,Jeff Stockwell,Emile Hirsch,Kieran Culkin,Vincent D'Onofrio,2,N,N/A,71, ,Comedy,Drama, ,no
Ron Shelton,James Ellroy,David Ayer,Kurt Russell,Scott Speedman,Michael Michele,4,N,58,52,9059588.0,Crime,Drama,Romance,no
Charles Stone III,Shawn Schepps,Tina Gordon Chism,Nick Cannon,Zoe Saldana,Orlando Jones,12,N,82,70,5.6178945E7,Comedy,Drama,Romance,no
Pamela Corkey,Pamela Corkey, ,David Ian,Traci L. Crouch,Timothy Crowe,3,N,N/A,N/A, ,Comedy,Drama,Music,no
Bruce Beresford,Paul Pender, ,Sophie Vavasseur,Niall Beagan,Hugh McDonagh,9,N,64,78,1341151.0,Drama, , ,no
Todd Haynes,Todd Haynes, ,Julianne Moore,Dennis Quaid,Dennis Haysbert,190,N,87,79,1.59E7,Drama,Romance, ,no
Julie Taymor,Hayden Herrera,Clancy Sigal,Salma Hayek,Mía Maestro,Alfred Molina,58,N,76,86,2.5681203E7,Biography,Drama,Romance,no
Martin Scorsese,Jay Cocks,Jay Cocks,Leonardo DiCaprio,Daniel Day-Lewis,Cameron Diaz,175,N,75,81,7.7605296E7,Crime,Drama,History,yesDrama
Miguel Arteta,Mike White, ,Jennifer Aniston,Deborah Rush,Mike White,21,N,N/A,0, ,Drama,Romance, ,no
Daisy von Scherler Mayer,Tracey Jackson, ,Jimi Mistry,Heather Graham,Marisa Tomei,1,N,57,40,2867996.0,Comedy,Music,Romance,no
Jim Simpson,Anne Nelson,Anne Nelson,Sigourney Weaver,Anthony LaPaglia,Irene Walsh,3,N,73,61, ,Drama, , ,no
Chris Columbus,J.K. Rowling,Steve Kloves,Daniel Radcliffe,Rupert Grint,Emma Watson,53,N,82,80,2.61835892E8,Adventure,Family,Fantasy,no
Gregory Hoblit,John Katzenbach,Billy Ray,Bruce Willis,Colin Farrell,Terrence Howard,1,N,60,48,1.9003827E7,Drama,War, ,no
Carl Franklin,Joseph Finder,Yuri Zeltser,Ashley Judd,Morgan Freeman,Jim Caviezel,2,N,N/A,N/A, ,Crime,Drama,Mystery,no
James Cox,Scott Rosenberg, ,Jared Leto,Jake Gyllenhaal,Selma Blair,4,N,N/A,69, ,Crime,Drama, ,no
Paul F. Ryan,Paul F. Ryan, ,Busy Philipps,Erika Christensen,Victor Garber,3,N,55,79, ,Crime,Drama, ,no
Stephen Daldry,Michael Cunningham,David Hare,Nicole Kidman,Julianne Moore,Meryl Streep,162,N,81,84,4.1465765E7,Drama,Romance, ,no
Mira Nair,Laura Cahill,Laura Cahill,Uma Thurman,Gena Rowlands,Juliette Lewis,22,N,70,62, ,Drama, , ,no
Betty Thomas,Morton S. Fine,David Friedkin,Eddie Murphy,Owen Wilson,Famke Janssen,7,Y,57,54, ,Action,Adventure,Comedy,no
Chris Wedge,Michael J. Wilson,Michael Berg,Ray Romano,John Leguizamo,Denis Leary,34,N,77,82,1.764E8,Animation,Adventure,Comedy,no
Burr Steers,Burr Steers, ,Kieran Culkin,Claire Danes,Jeff Goldblum,24,N,75,80,4624014.0,Comedy,Drama, ,no
Bob Gale,Bob Gale, ,Matthew Edison,Paul Brogren,Wayne Robson,7,N,80,86, ,Adventure,Comedy,Drama,no
Christopher Nolan,Hillary Seitz,Nikolaj Frobenius,Al Pacino,Martin Donovan,Oliver 'Ole' Zemen,11,N,92,76,6.73E7,Drama,Mystery,Thriller,no
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Phil Vischer,Mike Nawrocki,Tim Hodge,1,N,65,74,2.5408198E7,Animation,Adventure,Comedy,no
Kathryn Bigelow,Louis Nowra,Christopher Kyle,Sam Spruell,Peter Stebbings,Christian Camargo,3,N,60,52,3.5100183E7,Drama,History,Thriller,no
Richard J. Lewis,Steven Siegel,Scott Myers,James Belushi,Gary Basaraba,Kim Huffman,4,N,0,37, ,Action,Comedy,Crime,no
Kaige Chen,Sean French,Kara Lindstrom,Heather Graham,Joseph Fiennes,Natascha McElhone,0,N,0,39, ,Drama,Mystery,Romance,no
Moisés Kaufman,Moisés Kaufman,Moisés Kaufman,Kathleen Chalfant,Laura Linney,Peter Fonda,22,N,92,80, ,Drama,Crime, ,no
Lance Tracy,Kimba Henderson,Lance Tracy,Stephanie Cheeva,John Romualdi,Vince Cefalu,0,N,N/A,55, ,N/A, , ,no
Lisa Cholodenko,Lisa Cholodenko, ,Frances McDormand,Christian Bale,Kate Beckinsale,7,N,68,53,3596939.0,Drama, , ,no
John Schultz,Michael Elliot,Michael Elliot,Shad Moss,Morris Chestnut,Jonathan Lipnicki,7,N,57,51,5.1362626E7,Comedy,Family,Fantasy,no
Dean DeBlois,Chris Sanders,Chris Sanders,Daveigh Chase,Chris Sanders,Tia Carrere,38,N,86,77,1.45771527E8,Animation,Adventure,Comedy,no
Peter Jackson,J.R.R. Tolkien,Fran Walsh,Bruce Allpress,Sean Astin,John Bach,243,N,96,95,3.397E8,Adventure,Drama,Fantasy,yesDrama
Steven Spielberg,Philip K. Dick,Scott Frank,Tom Cruise,Max von Sydow,Steve Harris,95,N,90,80,1.32E8,Action,Mystery,Sci-Fi,no
Brad Silberling,Brad Silberling, ,Jake Gyllenhaal,Dustin Hoffman,Susan Sarandon,7,N,63,66, ,Drama,Romance, ,no
Barbet Schroeder,Tony Gayton, ,Sandra Bullock,Ben Chaplin,Ryan Gosling,2,N,N/A,8, ,Crime,Mystery,Thriller,no
Joel Zwick,Nia Vardalos, ,Nia Vardalos,Michael Constantine,Christina Eleusiniotis,48,N,76,73,2.41250669E8,Comedy,Family,Romance,yesComedy
Joe Carnahan,Joe Carnahan, ,Dan Leis,Jason Patric,Lloyd Adams,9,N,83,79,1.0237964E7,Crime,Drama,Mystery,no
Douglas McGrath,Charles Dickens,Douglas McGrath,Stella Gonet,Andrew Havill,Henry McGrath,6,N,77,75,1309849.0,Drama,Romance, ,yesComedy
Mark Romanek,Mark Romanek, ,Robin Williams,Connie Nielsen,Michael Vartan,27,N,N/A,N/A, ,Drama,Thriller, ,no
David Fincher,David Koepp, ,Jodie Foster,Kristen Stewart,Forest Whitaker,10,N,76,63,9.5308367E7,Crime,Drama,Thriller,no
John Frankenheimer,Daniel Giat, ,Michael Gambon,Donald Sutherland,Alec Baldwin,27,N,N/A,70, ,Biography,Drama,War,no
Neil LaBute,A.S. Byatt,David Henry Hwang,Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam,1,N,65,58,1.0058448E7,Drama,Mystery,Romance,no
Craig McCracken,Charlie Bean,Lauren Faust,Cathy Cavadini,Tara Strong,Elizabeth Daily,0,N,63,57,1.1321595E7,Animation,Action,Adventure,no
Paul Thomas Anderson,Paul Thomas Anderson, ,Adam Sandler,Jason Andrews,Don McManus,49,N,79,77,1.78E7,Comedy,Drama,Romance,no
Phillip Noyce,Graham Greene,Christopher Hampton,Michael Caine,Brendan Fraser,Do Thi Hai Yen,27,N,87,73, ,Drama,History,Mystery,no
Patricia Cardoso,Josefina Lopez,George LaVoo,America Ferrera,Lupe Ontiveros,Ingrid Oliu,11,N,83,75,5677043.0,Comedy,Drama, ,no
Brett Ratner,Thomas Harris,Ted Tally,Anthony Hopkins,Edward Norton,Ralph Fiennes,14,N,69,74,9.2930005E7,Crime,Drama,Thriller,no
Gore Verbinski,Ehren Kruger,Kôji Suzuki,Naomi Watts,Martin Henderson,David Dorfman,25,N,72,48,1.28579698E8,Horror,Mystery, ,no
