Director,Writer1,Writer2,Actor1,Actor2,Actor3,TotalAwards,Series,TomatoRev,AudienceRev,Income,Genre1,Genre2,Genre3,Label
Alan J. Pakula,Scott Turow,Frank Pierson,Harrison Ford,Brian Dennehy,Raul Julia,3,N,86,67, ,Mystery,Thriller, ,no
Garry Marshall,J.F. Lawton, ,Richard Gere,Julia Roberts,Ralph Bellamy,19,N,62,68, ,Comedy,Romance, ,yesComedy
Mick Garris,Joseph Stefano,Robert Bloch,Anthony Perkins,Henry Thomas,Olivia Hussey,1,Y,N/A,33, ,Horror,Mystery,Thriller,no
Allan Moyle,Allan Moyle, ,Christian Slater,Annie Ross,Andy Romano,8,N,79,84, ,Comedy,Drama,Music,no
Sidney Lumet,Edwin Torres,Sidney Lumet,Nick Nolte,Timothy Hutton,Armand Assante,0,N,87,61, ,Crime,Drama,Thriller,no
Howard Franklin,Jay Cronley,Howard Franklin,Bill Murray,Dale Grand,Bob Elliott,0,N,80,71, ,Comedy,Crime, ,no
Simon Wincer,John Hill, ,Tom Selleck,Laura San Giacomo,Alan Rickman,3,N,56,73, ,Action,Adventure,Drama,no
Philip Ridley,Philip Ridley, ,Viggo Mortensen,Lindsay Duncan,Jeremy Cooper,9,N,83,79, ,Drama,Horror,Thriller,no
Hendel Butoy,Jim Cox,Karey Kirkpatrick,Bob Newhart,Eva Gabor,John Candy,6,Y,68,68, ,Animation,Adventure,Crime,no
Barbet Schroeder,Alan M. Dershowitz,Nicholas Kazan,Glenn Close,Jeremy Irons,Ron Silver,27,N,94,76, ,Biography,Drama,Mystery,yesDrama
Frank Marshall,Gary K. Wolf,Bill Kopp,Charles Fleischer,Kathleen Turner,April Winchell,0,N,N/A,75, ,Animation,Short,Comedy,no
Armondo Linus Acosta,William Shakespeare,Armondo Linus Acosta,John Hurt,Robert Powell,Francesca Annis,0,N,N/A,N/A, ,N/A, , ,no
Tom Stoppard,Tom Stoppard, ,Gary Oldman,Tim Roth,Richard Dreyfuss,5,N,64,88, ,Comedy,Drama, ,no
Fred Schepisi,John le Carré,Tom Stoppard,Sean Connery,Michelle Pfeiffer,Roy Scheider,5,N,75,50, ,Drama,Romance,Thriller,no
Nils Gaup,O.V. Falck-Ytter,Nils Gaup,Stian Smestad,Gabriel Byrne,Louisa Milwood-Haigh,3,N,N/A,70, ,Adventure,Family, ,no
Jan Egleson,Simon Brett,Andrew Klavan,Michael Caine,Elizabeth McGovern,Peter Riegert,1,N,77,65, ,Comedy,Crime,Thriller,no
Bruno Barreto,Anne Nelson,Evan Jones,Amy Irving,Andy Garcia,Lou Diamond Phillips,0,N,N/A,28, ,Drama,Thriller, ,no
Carl Denham,Don Adams,Harry James Picardi,William Lantry,Anthony Van Deuren,T.K. Malone,0,N,N/A,N/A, ,Horror, , ,no
Michael Gottlieb,Grant Morris,Ronald E. House,Cheech Marin,Emma Samms,Vernon Wells,0,N,N/A,40, ,Comedy, , ,no
Peter Israelson,David Thoreau, ,C. Thomas Howell,Peter Horton,Courtney Thorne-Smith,0,N,N/A,59, ,Comedy,Drama,Romance,no
Frank Pierson,Doug Magee, ,Roy Scheider,Bonnie Bedelia,Robert Carradine,3,N,N/A,N/A, ,Drama, , ,no
Lucas Reiner,Roman Coppola,Lucas Reiner,Mark Mothersbaugh,Gerald V. Casale,Carl Reiner,0,N,80,51, ,Comedy,Sci-Fi, ,no
Phil Joanou,Dennis McIntyre, ,Sean Penn,Ed Harris,Gary Oldman,0,N,84,83, ,Action,Crime,Drama,no
John Erman,Olive Higgins Prouty,Robert Getchell,Bette Midler,John Goodman,Trini Alvarado,2,N,N/A,78, ,Drama,Romance, ,no
James Scott,Graham Greene,James Scott,Robert Lindsay,Molly Ringwald,Marianne Price,0,N,N/A,60, ,Comedy, , ,no
Zale Dalen,Bill Mullan,Al Thurgood,Peter Breck,Germain Houde,Jello Biafra,0,N,N/A,83, ,Comedy,Sci-Fi, ,no
Peter Bogdanovich,Larry McMurtry,Peter Bogdanovich,Harvey Christiansen,Pearl Jones,Loyd Catlett,0,Y,55,49, ,Drama, , ,no
Charles Burnett,Charles Burnett, ,Paul Butler,DeVaughn Nixon,Mary Alice,15,N,84,83, ,Drama, , ,no
Paul Verhoeven,Philip K. Dick,Ronald Shusett,Arnold Schwarzenegger,Rachel Ticotin,Sharon Stone,22,N,82,78, ,Action,Sci-Fi,Thriller,no
Fraser C. Heston,Fraser C. Heston,Robert Louis Stevenson,Charlton Heston,Christian Bale,Oliver Reed,1,N,N/A,78, ,Action,Adventure,Crime,no
Ron Underwood,S.S. Wilson,Brent Maddock,Kevin Bacon,Fred Ward,Finn Carter,5,N,85,75, ,Comedy,Horror, ,no
Hal Hartley,Hal Hartley, ,Adrienne Shelly,Martin Donovan,Rebecca Nelson,6,N,82,94, ,Comedy,Drama, ,no
Jack Nicholson,Robert Towne,Robert Towne,Jack Nicholson,Harvey Keitel,Meg Tilly,0,Y,65,39, ,Crime,Drama,Mystery,no
Robert Altman,Julian Mitchell, ,Tim Roth,Paul Rhys,Adrian Brine,0,N,88,72, ,Biography,Drama, ,no
Harry Winer,Rena Dictor Le Blanc,Jerry McNeely,Fred Savage,Kevin Spacey,Ellen Burstyn,0,N,N/A,45, ,Biography,Drama, ,no
Clint Eastwood,Peter Viertel,Peter Viertel,Clint Eastwood,Jeff Fahey,Charlotte Cornwell,2,N,88,62, ,Adventure,Drama, ,no
Luis Mandoki,Glenn Savan,Ted Tally,Susan Sarandon,James Spader,Jason Alexander,2,N,60,62, ,Drama,Romance, ,no
Patricia Rozema,Patricia Rozema, ,Kate Nelligan,Maurice Godin,Margot Kidder,3,N,N/A,N/A, ,Drama, , ,no
Gene Quintano,Donald E. Westlake,Donald E. Westlake,Christopher Lambert,Kim Greist,Christopher Lloyd,0,N,N/A,39, ,Action,Adventure,Comedy,no
David Lynch,Barry Gifford,David Lynch,Nicolas Cage,Laura Dern,Willem Dafoe,10,N,65,81, ,Comedy,Crime,Drama,no
Nicolas Roeg,Roald Dahl,Allan Scott,Anjelica Huston,Mai Zetterling,Jasen Fisher,11,N,100,70, ,Adventure,Comedy,Fantasy,no
John Boskovich,Sandra Bernhard,John Boskovich,Sandra Bernhard,John Doe,Steve Antin,0,N,57,71, ,Comedy,Musical, ,no
George Gallo,Frank Pesce,James Franciscus,Danny Aiello,Anthony LaPaglia,Lainie Kazan,0,N,80,87, ,Comedy,Drama, ,no
Barry Sonnenfeld,Charles Addams,Caroline Thompson,Anjelica Huston,Raul Julia,Christopher Lloyd,21,N,60,66, ,Comedy,Fantasy, ,no
Robert Lieberman,Thom Eberhardt,Richard Kramer,Harley Jane Kozak,Jamey Sheridan,Ethan Embry,3,N,0,60, ,Comedy,Family,Romance,no
Tommy Lee Wallace,Vincent Bugliosi,Bruce Henderson,Richard Crenna,Rachel Ward,Hart Bochner,1,N,N/A,N/A, ,Crime,Drama, ,no
Ron Howard,Gregory Widen, ,Kurt Russell,William Baldwin,Robert De Niro,7,N,71,75, ,Action,Crime,Drama,no
Joel Coen,Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,28,N,91,89, ,Comedy,Drama, ,no
Gary Trousdale,Linda Woolverton,Brenda Chapman,Robby Benson,Jesse Corti,Rex Everhart,48,N,93,92,4.7611331E7,Animation,Family,Fantasy,yesComedy
Peter Hewitt,Chris Matheson,Ed Solomon,Keanu Reeves,Alex Winter,William Sadler,2,Y,53,56, ,Adventure,Comedy,Fantasy,no
Bradley Battersby,Arthur Collis,Bradley Battersby,D.B. Sweeney,Courteney Cox,Craig Sheffer,0,N,N/A,47, ,Thriller, , ,no
James Cummins,James Cummins, ,Ed Nelson,Deborah Rose,Norman Fell,0,N,N/A,50, ,Fantasy,Horror, ,no
John Singleton,John Singleton, ,Hudhail Al-Amir,Lloyd Avery II,Angela Bassett,27,N,96,93, ,Crime,Drama, ,no
